type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148468.1151574,7578311,-0.144531,-0.539062,-0.109375,,,,,
RV,1782148468.1211233,7583611,,,,-0.00708,0.115662,0.668213,0.734863,1.134277
LA,1782148468.1222928,7583611,-0.105469,-0.582031,-0.109375,,,,,
LA,1782148468.140955,7593011,-0.183594,-0.46875,-0.035156,,,,,
RV,1782148468.143889,7598411,,,,-0.006531,0.115723,0.667297,0.735718,1.134277
LA,1782148468.156543,7598411,-0.277344,-0.46875,-0.109375,,,,,
RV,1782148468.2481031,7771251,,,,-0.000977,0.112549,0.6604,0.742432,1.134521
LA,1782148468.3473442,7812928,0.003906,-0.125,-0.074219,,,,,
RV,1782148468.348141,7818028,,,,0.004395,0.109497,0.654236,0.748291,1.134521
LA,1782148468.3483555,7818028,-0.003906,-0.164062,-0.074219,,,,,
RV,1782148468.3533049,7823428,,,,0.004761,0.109314,0.653809,0.748718,1.134521
LA,1782148468.3550916,7823428,-0.011719,-0.164062,-0.035156,,,,,
RV,1782148468.3645217,7828428,,,,0.005127,0.109131,0.653381,0.749084,1.134521
LA,1782148468.365153,7828428,-0.097656,-0.09375,-0.109375,,,,,
RV,1782148468.3997989,7833728,,,,0.005554,0.109009,0.652954,0.749512,1.134521
LA,1782148468.4001973,7833728,-0.140625,-0.09375,-0.109375,,,,,
RV,1782148468.5922675,8062961,,,,0.016296,0.104675,0.634766,0.765442,1.13501
LA,1782148468.5928957,8062961,-0.261719,0.140625,-0.394531,,,,,
RV,1782148468.5953004,8068261,,,,0.016296,0.104492,0.634338,0.765808,1.13501
LA,1782148468.6000018,8068261,-0.175781,0.109375,-0.316406,,,,,
RV,1782148468.6028655,8073361,,,,0.016357,0.10437,0.633972,0.766113,1.13501
LA,1782148468.6084476,8073361,-0.144531,0.074219,-0.289062,,,,,
RV,1782148468.611175,8078061,,,,0.016357,0.104309,0.633667,0.766357,1.13501
LA,1782148468.622278,8078061,-0.105469,0.117188,-0.316406,,,,,
RV,1782148468.6235945,8083361,,,,0.016296,0.104248,0.633301,0.766663,1.13501
LA,1782148468.6250207,8083361,-0.144531,0.082031,-0.289062,,,,,
RV,1782148468.6305223,8087861,,,,0.016235,0.104187,0.632996,0.766907,1.13501
LA,1782148468.6876497,8087861,-0.105469,0.117188,-0.363281,,,,,
RV,1782148468.8369048,8313706,,,,0.016785,0.105652,0.616394,0.780151,1.135254
LA,1782148468.8412666,8313706,-0.058594,0.347656,0.15625,,,,,
RV,1782148468.8445313,8318106,,,,0.016907,0.105774,0.616089,0.780334,1.135254
LA,1782148468.8496327,8318106,0.011719,0.378906,0.148438,,,,,
RV,1782148468.852475,8323706,,,,0.016968,0.105835,0.615723,0.78064,1.135254
LA,1782148468.857939,8323706,-0.066406,0.417969,0.183594,,,,,
RV,1782148468.8612785,8328306,,,,0.01709,0.105896,0.615417,0.780884,1.135254
LA,1782148468.86785,8328306,-0.105469,0.410156,0.148438,,,,,
RV,1782148468.8691564,8333706,,,,0.017151,0.105957,0.615051,0.781128,1.135254
LA,1782148468.875043,8333706,-0.113281,0.324219,0.148438,,,,,
RV,1782148468.877502,8338106,,,,0.017273,0.105957,0.614807,0.781372,1.135254
LA,1782148468.8829896,8338106,-0.027344,0.285156,0.101562,,,,,
RV,1782148468.8858714,8343406,,,,0.017334,0.106018,0.614441,0.781616,1.135254
LA,1782148468.8912969,8343406,0.011719,0.277344,0.214844,,,,,
RV,1782148468.894192,8348606,,,,0.017395,0.106079,0.614197,0.781799,1.135254
RV,1782148468.986758,8515737,,,,0.020569,0.108704,0.610107,0.784546,1.135498
RV,1782148469.085252,8564464,,,,0.02655,0.111511,0.609314,0.784607,1.135498
LA,1782148469.0907543,8564464,0.085938,0.433594,-0.175781,,,,,
RV,1782148469.0934072,8569564,,,,0.026917,0.111694,0.609314,0.784546,1.135498
LA,1782148469.0989776,8569564,0.117188,0.425781,-0.136719,,,,,
RV,1782148469.101865,8574564,,,,0.027222,0.111877,0.609314,0.784485,1.135498
LA,1782148469.1080756,8574564,0.15625,0.378906,-0.136719,,,,,
RV,1782148469.1113243,8579264,,,,0.027527,0.112061,0.609375,0.784424,1.135498
LA,1782148469.115621,8579264,0.117188,0.335938,-0.09375,,,,,
RV,1782148469.118452,8584064,,,,0.027771,0.112305,0.609497,0.784302,1.135498
LA,1782148469.1239004,8584064,0.117188,0.21875,-0.015625,,,,,
RV,1782148469.1267962,8589464,,,,0.028015,0.112488,0.609619,0.78418,1.135498
LA,1782148469.1323166,8589464,0.117188,0.25,-0.015625,,,,,
RV,1782148469.1351607,8594464,,,,0.028198,0.112732,0.609802,0.783997,1.135498
LA,1782148469.1406834,8594464,0.117188,0.242188,0.0625,,,,,
RV,1782148469.1438022,8599264,,,,0.028442,0.112915,0.609924,0.783813,1.135498
RV,1782148469.2354312,8766198,,,,0.034851,0.11554,0.612488,0.78125,1.135742
LA,1782148469.3560205,8809024,0.023438,-0.027344,-0.070312,,,,,
LA,1782148469.3692362,8829424,0.097656,-0.035156,-0.03125,,,,,
RV,1782148469.3733625,8834424,,,,0.039917,0.117737,0.614197,0.779297,1.135742
LA,1782148469.3764682,8834424,0.097656,-0.042969,-0.070312,,,,,
RV,1782148469.3817325,8839124,,,,0.040039,0.117737,0.614197,0.779297,1.135742
LA,1782148469.3846161,8839124,0.023438,-0.042969,-0.070312,,,,,
RV,1782148469.3900955,8844624,,,,0.040161,0.117798,0.614197,0.779236,1.135742
LA,1782148469.3925638,8844624,0.023438,-0.050781,-0.070312,,,,,
LA,1782148469.4848347,9010740,0.023438,0.109375,0.054688,,,,,
LA,1782148469.4863646,9015640,-0.007812,0.109375,0.128906,,,,,
RV,1782148469.5831618,9058392,,,,0.044495,0.120422,0.616821,0.776611,1.135986
LA,1782148469.5891426,9058392,-0.015625,0.046875,0.214844,,,,,
RV,1782148469.5923169,9063992,,,,0.044556,0.120544,0.616882,0.776489,1.135986
LA,1782148469.5972583,9063992,-0.054688,0.046875,0.246094,,,,,
RV,1782148469.6013563,9068792,,,,0.044617,0.120605,0.616943,0.776428,1.135986
LA,1782148469.6049182,9068792,-0.054688,0.007812,0.28125,,,,,
RV,1782148469.6082084,9073892,,,,0.044617,0.120667,0.617065,0.776306,1.135986
LA,1782148469.614127,9073892,-0.09375,-0.03125,0.320312,,,,,
RV,1782148469.6180441,9078492,,,,0.044678,0.120789,0.617126,0.776245,1.13623
LA,1782148469.6217203,9078492,-0.167969,-0.085938,0.359375,,,,,
RV,1782148469.6255214,9083892,,,,0.044739,0.120911,0.617249,0.776123,1.13623
LA,1782148469.630475,9083892,-0.207031,-0.046875,0.390625,,,,,
RV,1782148469.635538,9088792,,,,0.044861,0.121033,0.617432,0.776001,1.13623
LA,1782148469.6388495,9088792,-0.167969,-0.054688,0.390625,,,,,
LA,1782148469.641215,9093892,-0.132812,-0.128906,0.429688,,,,,
LA,1782148469.7334986,9260055,0.359375,-0.027344,0.035156,,,,,
LA,1782148469.734952,9265155,0.398438,-0.074219,-0.007812,,,,,
